data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-12-21 20:18:49.300484;507;Canoas;Luis Fernando;Tenis Adidas;Ammie Croshaw;feminino;credito
2024-12-21 23:43:48.803269;508;Caxias do Sul;Mateus Kienzle;Tenis Nike;Gene Hite;masculino;credito
2024-12-22 00:05:47.206929;509;Porto Alegre;Rodrigo Tadewald;Tenis NB;Juan Reed;masculino;boleto
2024-12-22 01:06:48.512062;510;Lajeado;Juliano Faccioni;Tenis Adidas;Laurie Oconnell;feminino;credito
2024-12-22 02:07:47.848134;511;Florianópolis;Claudia dos Santos;Tenis NB;Courtney Mayfield;feminino;boleto
2024-12-22 03:18:45.028848;512;Canoas;Luis Fernando;Tenis Nike;Kelly Rickel;feminino;credito
2024-12-22 16:51:47.814568;513;Lajeado;Juliano Faccioni;Tenis Nike;James Abraham;masculino;boleto
2024-12-22 17:09:46.539709;514;São Paulo;Cassia Moraes;Tenis NB;Michael Stephenson;masculino;credito
2024-12-22 17:48:49.689503;515;Caxias do Sul;Mateus Kienzle;Tenis NB;Jean Stearns;feminino;credito
2024-12-22 18:31:48.728222;516;Lajeado;Adriano Soares;Tenis Nike;James Penny;masculino;credito
2024-12-22 19:26:46.124899;517;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Margaret Hull;feminino;pix
2024-12-22 20:45:49.437207;518;Porto Alegre;Luiza Cherobini;Tenis NB;Diane Flanagan;feminino;pix
2024-12-23 00:13:45.355310;519;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Coleman Weddle;masculino;credito
2024-12-23 01:33:45.990253;520;Florianópolis;Claudia dos Santos;Tenis NB;Suzi Nguyen;feminino;boleto
2024-12-23 03:12:45.507088;521;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Noelle Buckhannon;feminino;credito
2024-12-23 16:27:48.512853;522;Florianópolis;Mario Sérgio;Tenis NB;Daniel Mastin;masculino;credito
2024-12-23 18:06:47.008037;523;São Paulo;Claudio Bueno;Tenis Nike;Marc Graza;masculino;credito
2024-12-23 19:12:48.051047;524;Canoas;Luis Fernando;Tenis Nike;Felipe Bradley;masculino;credito
2024-12-23 19:28:46.239165;525;Florianópolis;Mario Sérgio;Tenis Nike;Kevin Redhead;masculino;boleto
2024-12-23 20:08:47.291994;526;Florianópolis;Mario Sérgio;Tenis Nike;Clara Feagin;feminino;credito
2024-12-23 21:16:44.963943;527;Canoas;Carlos Henrique;Tenis Nike;Amanda Flynn;feminino;credito
2024-12-23 21:17:48.453009;528;Lajeado;Adriano Soares;Tenis Adidas;June Cordero;feminino;pix
2024-12-23 23:03:47.622154;529;Canoas;Luis Fernando;Tenis Fila;Bryant Huntington;masculino;boleto
2024-12-23 23:34:47.844741;530;Canoas;Luis Fernando;Tenis Adidas;Connie Davis;feminino;pix
2024-12-24 00:55:45.126118;531;Canoas;Carlos Henrique;Tenis Fila;Bernadette Leber;feminino;boleto
2024-12-24 02:20:47.508297;532;Florianópolis;Mario Sérgio;Tenis Adidas;Ronald Ramos;masculino;credito
2024-12-24 16:35:49.253109;533;Caxias do Sul;Mateus Kienzle;Tenis Fila;Beth Barnes;feminino;boleto
2024-12-24 21:19:46.238978;534;Lajeado;Adriano Soares;Tenis Nike;Steven Allen;masculino;credito
2024-12-24 22:08:47.769661;535;Porto Alegre;Luiza Cherobini;Tenis NB;Joseph Glaus;masculino;credito
2024-12-25 00:37:46.985886;536;São Paulo;Cassia Moraes;Tenis NB;Beatrice Blount;feminino;credito
2024-12-25 00:57:48.244891;537;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Clifford Fowler;masculino;credito
2024-12-25 17:10:48.496963;538;Florianópolis;Mario Sérgio;Tenis NB;David Lee;masculino;boleto
2024-12-25 20:53:46.275927;539;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Sandra Morse;feminino;credito
2024-12-26 00:17:48.043192;540;São Paulo;Claudio Bueno;Tenis Adidas;Pamela Arp;feminino;boleto
2024-12-26 00:49:49.587267;541;Caxias do Sul;Mateus Kienzle;Tenis Fila;Harold Owens;masculino;pix
2024-12-26 17:58:46.004153;542;Florianópolis;Mario Sérgio;Tenis Nike;Paul Stephens;masculino;credito
2024-12-26 18:57:48.501590;543;São Paulo;Claudio Bueno;Tenis Adidas;Brittany Balius;feminino;pix
2024-12-26 19:01:45.268034;544;Canoas;Luis Fernando;Tenis Nike;Tiffany Gardner;feminino;credito
2024-12-26 21:43:47.593337;545;São Paulo;Claudio Bueno;Tenis Fila;William Croft;masculino;boleto
2024-12-26 23:16:46.883100;546;São Paulo;Cassia Moraes;Tenis Adidas;Velma Noonan;feminino;credito
2024-12-27 00:57:45.891882;547;Canoas;Carlos Henrique;Tenis Adidas;Bryan Simmons;masculino;credito
2024-12-27 00:59:47.698381;548;Florianópolis;Mario Sérgio;Tenis Adidas;Eric Owens;masculino;credito
2024-12-27 16:39:47.579881;549;Florianópolis;Claudia dos Santos;Tenis Fila;Kenneth Dye;masculino;credito
2024-12-27 17:16:49.068848;550;São Paulo;Cassia Moraes;Tenis Nike;Jeffrey Crider;masculino;credito
2024-12-27 17:23:47.430705;551;Canoas;Carlos Henrique;Tenis NB;Erwin Bradley;masculino;credito
2024-12-27 17:26:46.960380;552;Canoas;Carlos Henrique;Tenis NB;Robert Trujillo;masculino;credito
2024-12-27 18:01:48.214944;553;Canoas;Carlos Henrique;Tenis Nike;Gene Luiz;masculino;credito
2024-12-27 19:59:46.381436;554;São Paulo;Cassia Moraes;Tenis Nike;Benjamin Jones;masculino;credito
2024-12-27 23:02:49.503780;555;Lajeado;Juliano Faccioni;Tenis Fila;Luis Gracia;masculino;credito
2024-12-28 01:15:46.856343;556;São Paulo;Claudio Bueno;Tenis NB;Laura Oreilly;feminino;credito
2024-12-28 01:27:46.177075;557;Florianópolis;Mario Sérgio;Tenis Adidas;Mary Moser;feminino;credito
2024-12-28 03:00:49.099619;558;São Paulo;Claudio Bueno;Tenis Adidas;Timothy Smith;masculino;credito
2024-12-28 17:22:48.729629;559;Canoas;Luis Fernando;Tenis Fila;Margret Gonzalez;feminino;credito
2024-12-28 21:43:49.672771;560;Canoas;Carlos Henrique;Tenis Nike;Jean Thompson;feminino;credito
2024-12-28 22:42:47.919751;561;Caxias do Sul;Mateus Kienzle;Tenis NB;Stanley Tolbert;masculino;pix
2024-12-28 22:45:45.805789;562;Canoas;Luis Fernando;Tenis NB;Wendy Jenkins;feminino;pix
2024-12-28 23:29:46.172024;563;Canoas;Luis Fernando;Tenis NB;Karen Gay;feminino;credito
2024-12-29 00:14:45.630382;564;Florianópolis;Mario Sérgio;Tenis Nike;Amber Blunt;feminino;credito
2024-12-29 00:24:45.534568;565;Canoas;Carlos Henrique;Tenis Fila;Cecilia Turrentine;feminino;credito
2024-12-29 00:30:47.221278;566;São Paulo;Cassia Moraes;Tenis NB;Terry Rittenhouse;masculino;credito
2024-12-29 00:44:49.557964;567;São Paulo;Cassia Moraes;Tenis Nike;Joel Davis;masculino;credito
2024-12-29 01:09:48.959725;568;Florianópolis;Claudia dos Santos;Tenis Fila;Kathleen Longway;feminino;credito
2024-12-29 02:11:49.513955;569;Lajeado;Adriano Soares;Tenis Adidas;Rose Reichel;feminino;credito
2024-12-29 17:25:49.704936;570;Lajeado;Adriano Soares;Tenis NB;Howard Shaw;masculino;credito
2024-12-29 18:08:45.169522;571;Lajeado;Juliano Faccioni;Tenis NB;Mike Willis;masculino;credito
2024-12-29 18:09:44.979547;572;São Paulo;Cassia Moraes;Tenis NB;William Hill;masculino;credito
2024-12-29 22:28:45.703899;573;Lajeado;Adriano Soares;Tenis NB;Ben Rose;masculino;credito
2024-12-30 00:05:45.167543;574;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Terry Hendrick;masculino;pix
2024-12-30 00:25:48.301118;575;Florianópolis;Mario Sérgio;Tenis Fila;Magda Boudreaux;feminino;credito
2024-12-30 00:57:47.924596;576;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Dorothy Barton;feminino;credito
2024-12-30 16:27:47.623634;577;São Paulo;Cassia Moraes;Tenis NB;Brian Preston;masculino;credito
2024-12-30 17:12:46.169426;578;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Loretta Flannigan;feminino;credito
2024-12-30 18:00:49.010352;579;Florianópolis;Claudia dos Santos;Tenis NB;Wilda Vasquez;feminino;credito
2024-12-30 18:21:45.828368;580;Lajeado;Adriano Soares;Tenis NB;Beatrice Woodmansee;feminino;credito
2024-12-30 19:21:46.960630;581;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Carina Beam;feminino;credito
2024-12-30 19:26:49.684703;582;Caxias do Sul;Mateus Kienzle;Tenis NB;Tiffany Campbell;feminino;credito
2024-12-31 00:43:44.979332;583;Lajeado;Adriano Soares;Tenis Adidas;Marie Williamson;feminino;credito
2024-12-31 01:20:48.411755;584;Florianópolis;Claudia dos Santos;Tenis Fila;Mary Buitron;feminino;credito
2024-12-31 02:10:45.637803;585;Lajeado;Juliano Faccioni;Tenis Fila;Christine Tainter;feminino;credito
2024-12-31 02:16:48.832675;586;Florianópolis;Claudia dos Santos;Tenis Nike;Patricia Stone;feminino;pix
2024-12-31 19:17:47.691807;587;Florianópolis;Claudia dos Santos;Tenis Nike;William Thomas;masculino;credito
2024-12-31 19:22:46.653883;588;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Irene Sarkis;feminino;credito
2024-12-31 19:33:46.642563;589;Canoas;Carlos Henrique;Tenis NB;Tina Lippincott;feminino;pix
2024-12-31 20:14:48.546264;590;Canoas;Carlos Henrique;Tenis Adidas;Concepcion Sanford;feminino;credito
2024-12-31 20:36:48.661859;591;São Paulo;Claudio Bueno;Tenis NB;Rachel Carron;feminino;credito
2024-12-31 22:53:45.602720;592;Florianópolis;Claudia dos Santos;Tenis Adidas;Rachel Ricks;feminino;credito
2024-12-31 23:20:47.560492;593;Caxias do Sul;Mateus Kienzle;Tenis NB;Gordon Carsey;masculino;credito
2025-01-01 00:49:49.662539;594;Porto Alegre;Luiza Cherobini;Tenis Adidas;Sidney Rosenbaum;masculino;credito
2025-01-01 02:38:47.049001;595;Florianópolis;Claudia dos Santos;Tenis Nike;Fernando Garcia;masculino;credito
2025-01-01 16:35:45.540625;596;São Paulo;Cassia Moraes;Tenis NB;Rebecca Boston;feminino;credito
2025-01-01 17:27:46.492966;597;Porto Alegre;Luiza Cherobini;Tenis NB;Matthew Sutton;masculino;credito
2025-01-01 18:54:48.838586;598;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Joseph Cohen;masculino;credito
2025-01-01 20:36:47.604372;599;Canoas;Luis Fernando;Tenis Adidas;James Minors;masculino;credito
2025-01-01 22:07:46.650640;600;São Paulo;Claudio Bueno;Tenis NB;Andy Lee;masculino;pix
2025-01-01 23:51:47.698510;601;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Mary Peckenpaugh;feminino;credito
2025-01-02 00:01:47.258753;602;Lajeado;Adriano Soares;Tenis Fila;Stephanie Edwards;feminino;credito
2025-01-02 00:15:46.254503;603;Lajeado;Juliano Faccioni;Tenis Nike;Ellen Robinson;feminino;credito
2025-01-02 02:17:49.011696;604;São Paulo;Claudio Bueno;Tenis Nike;Tina Patock;feminino;credito
2025-01-02 02:34:48.870912;605;São Paulo;Claudio Bueno;Tenis Nike;Eduardo Laster;masculino;credito
2025-01-02 03:02:48.665857;606;Canoas;Carlos Henrique;Tenis Adidas;Shaun Lemon;masculino;credito
2025-01-02 18:04:48.618444;607;Caxias do Sul;Mateus Kienzle;Tenis Nike;Adam Nelson;masculino;credito
2025-01-02 18:57:45.619336;608;São Paulo;Claudio Bueno;Tenis Nike;Kathleen Mcgraw;feminino;credito
2025-01-02 21:15:46.059640;609;Canoas;Carlos Henrique;Tenis NB;Rose Averitt;feminino;credito
2025-01-02 23:17:46.959672;610;Canoas;Carlos Henrique;Tenis NB;Benjamin Han;masculino;credito
2025-01-02 23:43:49.033814;611;Caxias do Sul;Mateus Kienzle;Tenis Fila;John Vallejo;masculino;credito
2025-01-03 02:09:47.437171;612;Lajeado;Juliano Faccioni;Tenis Adidas;Don Hall;masculino;credito
2025-01-03 02:22:45.612643;613;Lajeado;Juliano Faccioni;Tenis NB;Ruth Hersey;feminino;boleto
2025-01-03 17:58:49.730576;614;Florianópolis;Claudia dos Santos;Tenis Nike;Melissa Knowles;feminino;credito
2025-01-03 18:09:45.216614;615;Florianópolis;Claudia dos Santos;Tenis Nike;Jennifer White;feminino;credito
2025-01-03 18:10:48.263590;616;Canoas;Luis Fernando;Tenis Adidas;Robert Lopez;masculino;credito
2025-01-03 19:01:47.508078;617;Caxias do Sul;Mateus Kienzle;Tenis Fila;Willis Owens;masculino;credito
2025-01-03 20:48:46.475728;618;Porto Alegre;Luiza Cherobini;Tenis Fila;Mary Pearson;feminino;boleto
2025-01-03 21:02:49.631792;619;Canoas;Carlos Henrique;Tenis Fila;Elane Rolon;feminino;credito
2025-01-03 21:10:45.853386;620;Florianópolis;Mario Sérgio;Tenis Adidas;Alexander Noori;masculino;boleto
2025-01-03 21:40:48.251947;621;Caxias do Sul;Mateus Kienzle;Tenis Fila;Eric Perla;masculino;credito
2025-01-04 00:44:46.312544;622;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Nina Weidman;feminino;boleto
2025-01-04 00:58:46.950611;623;Lajeado;Adriano Soares;Tenis Adidas;Karen Beamish;feminino;pix
2025-01-04 17:12:45.262996;624;Florianópolis;Mario Sérgio;Tenis NB;Susan Harvey;feminino;credito
2025-01-04 18:04:46.065060;625;Lajeado;Juliano Faccioni;Tenis Adidas;Cecile Wells;feminino;pix
2025-01-04 20:21:48.463287;626;Florianópolis;Mario Sérgio;Tenis Nike;Susan Tyler;feminino;credito
2025-01-04 21:32:47.163575;627;Canoas;Carlos Henrique;Tenis Adidas;John Fletcher;masculino;credito
2025-01-04 22:11:47.626050;628;Florianópolis;Claudia dos Santos;Tenis Adidas;Pat Twitt;feminino;credito
2025-01-04 22:30:47.698272;629;Porto Alegre;Luiza Cherobini;Tenis Adidas;David Mason;masculino;credito
2025-01-04 22:42:49.457160;630;Caxias do Sul;Mateus Kienzle;Tenis Fila;Alejandra Jenkins;feminino;credito
2025-01-05 00:23:48.941603;631;Florianópolis;Claudia dos Santos;Tenis NB;Trevor Collins;masculino;boleto
2025-01-05 00:37:46.803336;632;Canoas;Carlos Henrique;Tenis NB;Isidro Edson;masculino;credito
2025-01-05 00:41:49.543075;633;Canoas;Luis Fernando;Tenis Nike;Karen Johnson;feminino;credito
2025-01-05 01:17:47.459935;634;São Paulo;Claudio Bueno;Tenis Fila;Maggie Lewis;feminino;credito
2025-01-05 02:05:45.045965;635;Porto Alegre;Rodrigo Tadewald;Tenis NB;Edward Thompson;masculino;credito
2025-01-05 02:07:47.724941;636;Canoas;Carlos Henrique;Tenis Nike;Janis Pena;feminino;credito
2025-01-05 16:48:47.972127;637;Porto Alegre;Rodrigo Tadewald;Tenis NB;Ora Mcglynn;feminino;credito
2025-01-05 17:17:45.183031;638;Florianópolis;Claudia dos Santos;Tenis Nike;Annette Gallivan;feminino;credito
2025-01-05 17:58:45.046059;639;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Angela Brown;feminino;credito
2025-01-05 18:43:48.293369;640;Porto Alegre;Luiza Cherobini;Tenis NB;Patricia Poage;feminino;credito
2025-01-05 19:03:49.747082;641;Florianópolis;Mario Sérgio;Tenis Fila;Natasha Thomas;feminino;credito
2025-01-05 22:26:48.816640;642;São Paulo;Claudio Bueno;Tenis Adidas;Stanley Hunter;masculino;credito
2025-01-06 00:38:48.674383;643;Canoas;Carlos Henrique;Tenis Adidas;Roosevelt Judd;masculino;credito
2025-01-06 02:40:48.832861;644;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Michael Rojas;masculino;credito
2025-01-06 16:56:49.730902;645;Canoas;Carlos Henrique;Tenis Nike;William Watkins;masculino;credito
2025-01-06 18:16:45.224001;646;Caxias do Sul;Mateus Kienzle;Tenis NB;Patricia Parga;feminino;boleto
2025-01-06 18:30:48.457652;647;Canoas;Carlos Henrique;Tenis Nike;Tiffany Bailey;feminino;credito
2025-01-06 18:39:45.258872;648;Canoas;Luis Fernando;Tenis Fila;Terry Mclaughlin;masculino;credito
2025-01-06 21:19:46.771334;649;Canoas;Carlos Henrique;Tenis Nike;Sonya Gallagher;feminino;credito
2025-01-06 22:42:47.860311;650;São Paulo;Cassia Moraes;Tenis Adidas;Michale Wong;masculino;credito
2025-01-07 17:01:47.768628;651;Porto Alegre;Rodrigo Tadewald;Tenis NB;Ona Valdes;feminino;credito
2025-01-07 17:36:46.080819;652;Porto Alegre;Rodrigo Tadewald;Tenis NB;Francisco Durand;masculino;credito
2025-01-07 18:12:49.575652;653;Florianópolis;Claudia dos Santos;Tenis Adidas;Miguel Ritacco;masculino;boleto
2025-01-07 18:17:49.314291;654;São Paulo;Cassia Moraes;Tenis Adidas;Gregory Nickolas;masculino;credito
2025-01-07 20:33:47.512023;655;Lajeado;Juliano Faccioni;Tenis Adidas;Dean Cappello;masculino;credito
2025-01-08 00:18:49.731356;656;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Joyce Stamdifer;feminino;credito
2025-01-08 03:10:46.884124;657;Florianópolis;Claudia dos Santos;Tenis Adidas;Jared Rhodd;masculino;credito
2025-01-08 16:43:48.054549;658;Caxias do Sul;Mateus Kienzle;Tenis NB;Robert Colarusso;masculino;credito
2025-01-08 16:51:47.361580;659;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Willie Sims;masculino;credito
2025-01-08 17:24:46.120539;660;Lajeado;Adriano Soares;Tenis Nike;Cheryl Egbert;feminino;credito
2025-01-08 19:26:47.848502;661;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Bruce Hansen;masculino;credito
2025-01-08 21:46:48.225810;662;Porto Alegre;Luiza Cherobini;Tenis NB;John Burgess;masculino;credito
2025-01-08 21:56:49.531182;663;Lajeado;Juliano Faccioni;Tenis Fila;Alice Freehan;feminino;credito
2025-01-08 23:16:45.658312;664;Florianópolis;Claudia dos Santos;Tenis Fila;Mary Black;feminino;boleto
2025-01-09 01:00:47.966331;665;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Elizabeth Dunlap;feminino;credito
2025-01-09 17:05:49.685144;666;São Paulo;Claudio Bueno;Tenis Nike;Shawn Fraley;masculino;credito
2025-01-09 18:19:47.464743;667;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Jackie Munoz;feminino;pix
2025-01-09 19:05:45.190502;668;Canoas;Luis Fernando;Tenis Adidas;Katie Deeds;feminino;credito
2025-01-09 23:58:46.059413;669;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Robert Alvarado;masculino;credito
2025-01-10 00:36:48.037940;670;Florianópolis;Claudia dos Santos;Tenis Fila;Virginia Bibbins;feminino;credito
2025-01-10 02:50:47.298200;671;Lajeado;Adriano Soares;Tenis Fila;William Radden;masculino;credito
2025-01-10 17:10:47.657207;672;Florianópolis;Mario Sérgio;Tenis NB;Nora Greene;feminino;credito
2025-01-10 17:51:49.341664;673;Lajeado;Adriano Soares;Tenis Adidas;Patricia Mork;feminino;credito
2025-01-10 18:14:45.068299;674;Florianópolis;Mario Sérgio;Tenis Fila;Jesse Stamper;masculino;credito
2025-01-10 19:16:45.115008;675;Caxias do Sul;Mateus Kienzle;Tenis Fila;Joe Stivers;masculino;credito
2025-01-10 19:21:46.834292;676;Lajeado;Juliano Faccioni;Tenis NB;Eugene Gaydosh;masculino;credito
2025-01-11 01:12:47.850267;677;Lajeado;Juliano Faccioni;Tenis Nike;David Herring;masculino;boleto
2025-01-11 02:35:46.327178;678;Florianópolis;Claudia dos Santos;Tenis NB;Nathan Allen;masculino;credito
2025-01-11 18:06:45.339598;679;São Paulo;Cassia Moraes;Tenis NB;Alan Patter;masculino;credito
2025-01-11 22:17:48.911215;680;Caxias do Sul;Mateus Kienzle;Tenis Fila;Cynthia Huskey;feminino;credito
2025-01-11 23:14:45.182642;681;Porto Alegre;Luiza Cherobini;Tenis NB;John Goode;masculino;pix
2025-01-11 23:27:45.120068;682;Florianópolis;Mario Sérgio;Tenis Fila;Sandra Johnson;feminino;credito
2025-01-12 00:06:48.590125;683;Lajeado;Juliano Faccioni;Tenis Nike;Elaine Roark;feminino;credito
2025-01-12 00:10:49.590205;684;Canoas;Luis Fernando;Tenis Fila;Michelle Raad;feminino;credito
2025-01-12 00:12:45.060625;685;Porto Alegre;Luiza Cherobini;Tenis Fila;Julie Todd;feminino;credito
2025-01-12 00:32:47.182736;686;Lajeado;Juliano Faccioni;Tenis NB;Brian Moats;masculino;credito
2025-01-12 01:21:45.169671;687;Florianópolis;Mario Sérgio;Tenis Adidas;Margaret Decker;feminino;credito
2025-01-12 01:28:46.169312;688;São Paulo;Cassia Moraes;Tenis Adidas;Alice Webb;feminino;credito
2025-01-12 02:32:49.003566;689;Caxias do Sul;Mateus Kienzle;Tenis NB;Kristi Heister;feminino;credito
2025-01-12 02:48:47.283007;690;São Paulo;Cassia Moraes;Tenis Nike;Rochelle Maisano;feminino;credito
2025-01-12 03:00:49.586762;691;Lajeado;Adriano Soares;Tenis NB;Teddy Alexander;masculino;credito
2025-01-12 17:19:45.216326;692;São Paulo;Claudio Bueno;Tenis Nike;Steven Reyes;masculino;credito
2025-01-12 18:17:48.834405;693;São Paulo;Claudio Bueno;Tenis Adidas;Derrick Leland;masculino;credito
2025-01-12 19:18:45.631322;694;São Paulo;Claudio Bueno;Tenis Adidas;Paulina Mode;feminino;boleto
2025-01-12 21:03:48.105334;695;São Paulo;Claudio Bueno;Tenis Adidas;Brian Mckinney;masculino;credito
2025-01-12 21:46:49.067724;696;Canoas;Luis Fernando;Tenis NB;Karen Blanton;feminino;credito
2025-01-12 22:52:46.112589;697;Porto Alegre;Rodrigo Tadewald;Tenis NB;Annette Killion;feminino;credito
2025-01-13 02:38:45.125375;698;Caxias do Sul;Mateus Kienzle;Tenis Fila;Judy Seitz;feminino;credito
2025-01-13 17:02:45.843516;699;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Betty Polkinghorn;feminino;credito
2025-01-13 20:13:47.327690;700;São Paulo;Cassia Moraes;Tenis Fila;Jerome Jones;masculino;credito
2025-01-13 21:35:47.583819;701;Canoas;Luis Fernando;Tenis Nike;Mabel Jennings;feminino;credito
2025-01-13 21:37:48.616957;702;Florianópolis;Mario Sérgio;Tenis Fila;Andrew Mulholland;masculino;boleto
2025-01-13 23:01:48.042844;703;Florianópolis;Claudia dos Santos;Tenis Fila;William Connor;masculino;credito
2025-01-14 00:25:47.860889;704;Lajeado;Adriano Soares;Tenis Adidas;Stanley Fernandez;masculino;credito
2025-01-14 01:43:47.484515;705;Caxias do Sul;Mateus Kienzle;Tenis Fila;Allison David;feminino;credito
2025-01-14 02:25:48.588255;706;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Edward Serrano;masculino;credito
2025-01-14 03:13:48.141519;707;São Paulo;Claudio Bueno;Tenis Nike;Patricia Bolla;feminino;credito
2025-01-14 19:56:47.079970;708;Florianópolis;Claudia dos Santos;Tenis NB;Claire Delgado;feminino;pix
2025-01-14 20:49:49.686534;709;Canoas;Carlos Henrique;Tenis Fila;Michael Howard;masculino;pix
2025-01-14 21:11:48.578586;710;Lajeado;Adriano Soares;Tenis Adidas;Ida Leonelli;feminino;credito
2025-01-14 22:00:48.270942;711;São Paulo;Claudio Bueno;Tenis NB;Candace Martin;feminino;boleto
2025-01-14 22:11:47.080222;712;Lajeado;Juliano Faccioni;Tenis Adidas;Elaine Gouin;feminino;credito
2025-01-14 23:04:46.718991;713;Florianópolis;Mario Sérgio;Tenis Adidas;Burton Crispin;masculino;credito
2025-01-14 23:51:46.231173;714;Florianópolis;Mario Sérgio;Tenis Fila;Susan Ashman;feminino;credito
2025-01-14 23:52:49.462231;715;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Tammy Montminy;feminino;credito
2025-01-15 00:59:46.967580;716;Canoas;Luis Fernando;Tenis Nike;Dana Bell;feminino;credito
2025-01-15 02:27:48.712795;717;Canoas;Luis Fernando;Tenis Fila;Carlos Rivera;masculino;credito
2025-01-15 18:13:46.473727;718;Florianópolis;Mario Sérgio;Tenis Nike;Mary Mcanally;feminino;credito
2025-01-15 19:06:48.498042;719;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Richard Burgess;masculino;credito
2025-01-15 19:06:48.554683;720;São Paulo;Claudio Bueno;Tenis NB;James Cardoza;masculino;credito
2025-01-15 19:23:45.978501;721;Lajeado;Juliano Faccioni;Tenis NB;Benny Herrera;masculino;credito
2025-01-15 19:35:48.565394;722;Florianópolis;Mario Sérgio;Tenis Fila;Elizabeth Brown;feminino;credito
2025-01-15 20:12:46.246409;723;Florianópolis;Mario Sérgio;Tenis Fila;Jody Merk;feminino;credito
2025-01-15 21:20:49.000455;724;Lajeado;Juliano Faccioni;Tenis NB;Christie Ferretti;feminino;credito
2025-01-15 21:55:49.558079;725;Caxias do Sul;Mateus Kienzle;Tenis Nike;Joyce Leandry;feminino;boleto
2025-01-16 00:31:48.576719;726;Porto Alegre;Luiza Cherobini;Tenis Nike;Michael Strickland;masculino;credito
2025-01-16 01:22:46.641903;727;Lajeado;Juliano Faccioni;Tenis Fila;Ernest Higgins;masculino;pix
2025-01-16 02:31:48.923451;728;Canoas;Carlos Henrique;Tenis Fila;Curtis Cribbin;masculino;credito
2025-01-16 18:09:49.100357;729;Caxias do Sul;Mateus Kienzle;Tenis Fila;Thelma Buresh;feminino;credito
2025-01-16 19:26:48.729284;730;Lajeado;Juliano Faccioni;Tenis Adidas;Michael Godfrey;masculino;credito
2025-01-16 20:44:47.878976;731;Canoas;Luis Fernando;Tenis Nike;Ann Conatser;feminino;credito
2025-01-16 23:55:49.099790;732;Florianópolis;Claudia dos Santos;Tenis Nike;Sharon Ryan;feminino;pix
2025-01-17 00:45:47.116671;733;Lajeado;Adriano Soares;Tenis Adidas;Annie Nelson;feminino;credito
2025-01-17 01:13:49.312493;734;São Paulo;Cassia Moraes;Tenis NB;Myra Thompson;feminino;credito
2025-01-17 03:13:45.683246;735;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Dennis Gunderson;masculino;boleto
2025-01-17 17:31:45.539746;736;Lajeado;Juliano Faccioni;Tenis Nike;Rex Bollinger;masculino;credito
2025-01-17 17:55:47.188235;737;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Charles Randolph;masculino;pix
2025-01-17 17:58:48.012151;738;Canoas;Luis Fernando;Tenis Nike;Wayne Felver;masculino;pix
2025-01-17 18:30:47.907146;739;Canoas;Carlos Henrique;Tenis Fila;Marcy Arroliga;feminino;credito
2025-01-17 19:10:47.815776;740;Canoas;Carlos Henrique;Tenis Fila;Lloyd Everett;masculino;credito
2025-01-17 20:21:47.190439;741;Florianópolis;Claudia dos Santos;Tenis Adidas;Angelina Svenson;feminino;credito
2025-01-17 22:44:46.609107;742;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Terry Neidecker;masculino;credito
2025-01-18 00:48:46.785765;743;Canoas;Luis Fernando;Tenis NB;Luke Ivory;masculino;pix
2025-01-18 00:52:48.451265;744;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Peter Heiser;masculino;credito
2025-01-18 16:49:47.578645;745;São Paulo;Claudio Bueno;Tenis NB;Mark Henning;masculino;boleto
2025-01-18 19:05:48.498211;746;Porto Alegre;Rodrigo Tadewald;Tenis NB;Velma Kirby;feminino;credito
2025-01-18 19:22:47.594294;747;Canoas;Luis Fernando;Tenis NB;Michael Vela;masculino;credito
